CLAVE ENTIDAD,ENTIDAD,CLAVE MUNICIPIO,MUNICIPIO,PRODUCTO_ID,CULTIVO,SUPERFICE COSECHADA (ha),VOLUMEN DE LA PRODUCCIÓN (ton),VALOR DE LA PRODUCCIÓN (pesos),VALOR PROD. / SUP. COSECHADA
10,Durango,4,Cuencamé,79600,Nuez,1,0,16800,33600
3,Baja California Sur,3,La Paz,83300,Pistache,1,0,26250,52500
15,México,48,Jocotitlán,90600,Semilla de trigo grano,1,0,1834,3668
8,Chihuahua,13,Casas Grandes,83300,Pistache,1,0,27000,27000
5,Coahuila,13,Hidalgo,79600,Nuez,1,0,30400,30400
12,Guerrero,62,Tlacoachistlahuaca,89700,Tomate rojo (jitomate),0,0,3206,160280
10,Durango,5,Durango,60200,Chabacano,0,0,1800,7200
2,Baja California,5,Playas de Rosarito,71500,Higo,1,1,2250,2250
8,Chihuahua,10,Buenaventura,83300,Pistache,3,1,47520,15840
7,Chiapas,35,Frontera Hidalgo,76100,Marañón,1,1,2197,2197
5,Coahuila,17,Matamoros,58700,Cártamo,6,1,3600,600
9,Distrito Federal,11,Tláhuac,58400,Capulín,1,1,3900,7800
13,Hidalgo,61,Tepeapulco,60600,Chía,1,1,54320,54320
17,Morelos,20,Tepoztlán,57100,Café cereza,1,1,3165,6330
17,Morelos,25,Tlaquiltenango,57700,Calabaza semilla o chihua,1,1,19031,27187
13,Hidalgo,7,Almoloya,68400,Frijol,8,1,6800,850
12,Guerrero,4,Alcozauca de Guerrero,62200,Ciruela,1,1,2978,5956
14,Jalisco,52,Juchitlán,69000,Garbanzo grano,1,1,3159,3159
12,Guerrero,23,Cuajinicuilapa,57000,Cacao,1,1,6336,6336
14,Jalisco,52,Juchitlán,56900,Cacahuate,1,1,17575,17575
12,Guerrero,4,Alcozauca de Guerrero,82300,Pera,1,1,4554,9108
1,Aguascalientes,3,Calvillo,79600,Nuez,1,1,25000,25000
3,Baja California Sur,3,La Paz,74400,Macadamia,1,1,15000,30000
9,Distrito Federal,11,Tláhuac,50000,Aceituna,1,1,6150,12300
10,Durango,11,Indé,76900,Membrillo,1,1,4500,4500
10,Durango,28,San Juan del Río,79600,Nuez,5,1,80000,16000
11,Guanajuato,26,Romita,63900,Comino,1,1,29000,29000
13,Hidalgo,14,Calnali,54300,Arvejón,3,1,13200,5280
15,México,99,Texcoco,68500,Semilla de frijol,1,1,24500,35000
16,Michoacán,38,Huetamo,77550,Moringa,1,1,6000,6000
12,Guerrero,12,Ayutla de Los Libres,89700,Tomate rojo (jitomate),0,1,8448,168953
12,Guerrero,52,San Luis Acatlán,89700,Tomate rojo (jitomate),0,1,8271,165418
12,Guerrero,9,Atlamajalcingo del Monte,62200,Ciruela,1,1,7126,7055
12,Guerrero,77,Marquelia,89700,Tomate rojo (jitomate),0,1,9854,197089
9,Distrito Federal,10,Álvaro Obregón,68400,Frijol,2,1,17050,8525
12,Guerrero,17,Cocula,68400,Frijol,2,1,14339,7169
14,Jalisco,15,Autlán de Navarro,93100,Zarzamora,1,1,9350,18700
9,Distrito Federal,12,Tlalpan,71500,Higo,0,1,7336,36680
2,Baja California,1,Ensenada,75800,Manzana,1,1,3720,3720
5,Coahuila,33,San Pedro,88100,Sorgo grano,2,1,4200,2100
13,Hidalgo,12,Atotonilco El Grande,56900,Cacahuate,1,1,26400,26400
14,Jalisco,106,Tuxcacuesco,61100,Chile seco,3,1,24000,8000
16,Michoacán,92,Tiquicheo de Nicolás Romero,78300,Nanche,1,1,6550,6550
7,Chiapas,101,Tuxtla Gutiérrez,68400,Frijol,3,1,11938,3730
12,Guerrero,4,Alcozauca de Guerrero,78300,Nanche,1,1,3750,5000
12,Guerrero,4,Alcozauca de Guerrero,75800,Manzana,1,1,5760,11520
12,Guerrero,60,Tetipac,57700,Calabaza semilla o chihua,3,1,32448,10140
17,Morelos,2,Atlatlahucan,57100,Café cereza,1,1,5376,6720
16,Michoacán,13,Carácuaro,78300,Nanche,1,1,10350,10350
5,Coahuila,13,Hidalgo,68400,Frijol,2,1,12320,6160
12,Guerrero,37,Ixcateopan de Cuauhtémoc,57700,Calabaza semilla o chihua,3,1,21071,6197
14,Jalisco,108,Tuxpan,68400,Frijol,1,1,11200,11200
12,Guerrero,19,Copalillo,61100,Chile seco,4,1,41218,11777
15,México,54,Metepec,99800,Semilla de haba grano,4,1,79200,20842
12,Guerrero,49,Pilcaya,57700,Calabaza semilla o chihua,2,1,15435,7016
15,México,33,Ecatepec de Morelos,68400,Frijol,2,1,15742,10495
15,México,53,Melchor Ocampo,68400,Frijol,2,2,15150,7575
15,México,100,Tezoyuca,59200,Cebada grano,1,2,5813,5813
12,Guerrero,27,Cutzamala de Pinzón,70600,Guayaba,1,2,11411,22822
15,México,71,Polotitlán,75000,Semilla de maíz grano,2,2,48320,24160
17,Morelos,25,Tlaquiltenango,68400,Frijol,2,2,14024,7012
9,Distrito Federal,4,Cuajimalpa de Morelos,68400,Frijol,3,2,24920,8307
15,México,62,Ocoyoacac,65300,Durazno,1,2,12225,24450
7,Chiapas,53,Mazapa de Madero,65300,Durazno,1,2,11287,22574
17,Morelos,26,Tlayacapan,57100,Café cereza,1,2,7183,7183
12,Guerrero,78,Cochoapa El Grande,82300,Pera,2,2,8498,4249
12,Guerrero,34,Huitzuco de Los Figueroa,50800,Ajonjolí,4,2,24562,7018
13,Hidalgo,42,Molango de Escamilla,62200,Ciruela,1,2,2275,2275
16,Michoacán,109,Zináparo,60600,Chía,5,2,40250,8050
15,México,103,Tlalmanalco,68400,Frijol,2,2,21289,10644
10,Durango,11,Indé,79600,Nuez,2,2,117000,78000
12,Guerrero,49,Pilcaya,78300,Nanche,2,2,6300,4200
15,México,64,El Oro,68100,Frambuesa,1,2,22500,45000
12,Guerrero,77,Marquelia,57000,Cacao,2,2,14067,7033
9,Distrito Federal,8,La Magdalena Contreras,58400,Capulín,2,2,11346,6303
12,Guerrero,34,Huitzuco de Los Figueroa,61100,Chile seco,4,2,60125,15031
15,México,62,Ocoyoacac,75800,Manzana,1,2,15480,30960
15,México,77,San Simón de Guerrero,68400,Frijol,4,2,28240,7060
12,Guerrero,33,Huamuxtitlán,83400,Pitahaya,3,2,20246,6749
15,México,88,Tenancingo,68100,Frambuesa,1,2,36099,72198
6,Colima,9,Tecomán,62200,Ciruela,2,2,15280,10187
14,Jalisco,77,San Martín Hidalgo,69400,Girasol,2,2,6912,3456
16,Michoacán,8,Aquila,56900,Cacahuate,2,2,40320,20160
12,Guerrero,8,Atenango del Río,61100,Chile seco,5,2,58098,12911
12,Guerrero,36,Igualapa,57000,Cacao,2,2,14000,7000
15,México,77,San Simón de Guerrero,57100,Café cereza,3,2,8385,3354
1,Aguascalientes,7,Rincón de Romos,65300,Durazno,1,2,7000,7000
8,Chihuahua,33,Huejotitán,79600,Nuez,5,2,94000,18800
13,Hidalgo,8,Apan,89800,Tomate verde,2,2,13600,6800
9,Distrito Federal,10,Álvaro Obregón,58400,Capulín,2,2,12648,6657
9,Distrito Federal,13,Xochimilco,61200,Chile verde,1,2,25532,25532
5,Coahuila,10,Frontera,57400,Calabacita,0,2,13838,55350
16,Michoacán,17,Contepec,82300,Pera,0,2,14781,59122
11,Guanajuato,24,Pueblo Nuevo,69000,Garbanzo grano,1,2,8043,8043
13,Hidalgo,12,Atotonilco El Grande,93100,Zarzamora,1,2,22050,22050
15,México,86,Temascaltepec,68400,Frijol,5,2,31920,7093
15,México,30,Chiconcuac,68400,Frijol,2,2,23805,11336
12,Guerrero,4,Alcozauca de Guerrero,70600,Guayaba,1,2,13200,17600
